time_s,BMR_A,BMP_A,SPM_A
491400,-3.4063e-07,-3.6959e-12,-1.8119
492300,-4.357e-07,-3.7589e-12,-1.7381
493200,18.594,8.4843,18.967
494100,15.233,8.4843,19.588
495000,15.26,8.4843,18.511
495900,18.785,8.4843,7.6391
496800,-4.3759e-07,8.4843,0.28698
497700,-3.4441e-07,8.4843,0.23505
498600,3.6519e-07,8.4843,0.18314
499500,4.1619e-07,8.4843,0.11453
500400,-4.1933e-07,2.2289e-12,0.006005
501300,-3.3244e-07,3.6896e-12,0.0066441
502200,3.2111e-07,5.78e-12,0.00069956
503100,4.3067e-07,1.0704e-11,7.3667e-05
504000,-4.2185e-07,-5.7296e-12,-8.563e-05
504900,-3.337e-07,-1.3978e-12,7.8704e-05
505800,3.2552e-07,1.5804e-12,1.3033e-05
506700,4.3067e-07,6.1578e-12,1.7315e-06
507600,-18.745,-8.4843,-12.355
508500,-15.024,-8.4843,-8.7325
509400,-15.054,-8.4843,-8.6533
510300,-19.049,-8.4843,-8.3046
511200,18.886,8.4843,11.542
512100,14.864,8.4843,10.703
513000,14.795,8.4843,9.1729
513900,19.326,8.4843,5.7641
514800,-4.017e-07,1.5048e-12,0.3945
515700,-3.6896e-07,3.0411e-12,0.27464
516600,3.2741e-07,5.2637e-12,0.17449
517500,4.4326e-07,1.0767e-11,0.018318
518400,-15.499,-3.2489e-07,-1.2537
519300,-15.735,-1.9393e-07,-1.7558
520200,-16.78,-1.4859e-07,-2.5418
521100,-19.858,-1.2215e-07,-2.8323
522000,18.472,-5.2952e-08,3.7744
522900,15.85,-3.9604e-08,2.5293
523800,15.616,-2.5752e-08,1.6897
524700,17.935,-9.8222e-09,0.35121
525600,-4.25e-07,-4.242,0.019539
526500,-8.0593e-07,-4.242,0.019331
527400,8.0593e-07,-4.242,0.002035
528300,4.2059e-07,-4.242,0.00021407
529200,-18.208,-4.242,-13.76
530100,-15.777,-4.242,-7.8101
531000,-15.66,-4.242,-8.0695
531900,-18.228,-4.242,-7.6249
532800,4.3759e-07,-4.242,-3.8614
533700,7.9963e-07,-4.242,-4.9642
534600,-8.1852e-07,-4.242,-4.7203
535500,-4.1933e-07,-4.242,-4.4276
536400,4.1996e-07,-4.242,-2.583
537300,8.8778e-07,-4.242,-2.5377
538200,-9.0037e-07,-4.242,-2.2589
539100,-4.0674e-07,-4.242,-2.129
540000,3.9919e-07,1.2781e-07,0.75707
540900,8.6889e-07,2.6507e-08,0.11078
541800,-8.563e-07,-2.3737e-08,-0.10154
542700,-4.1556e-07,-1.0326e-07,-0.52243
543600,4.1304e-07,1.0452e-07,0.54625
544500,8.437e-07,2.5122e-08,0.080476
545400,-8.5e-07,-2.5059e-08,-0.10716
546300,-4.08e-07,-1.1711e-07,-0.54157
547200,4.1304e-07,2.1281e-07,3.546
548100,8.3741e-07,1.1711e-07,3.6488
549000,-8.3111e-07,7.6815e-08,3.8311
549900,-4.2374e-07,5.377e-08,3.9691
550800,7.1778e-07,1.8574e-07,8.4615
551700,1.5678e-06,1.977e-07,4.137
552600,6.8e-07,1.763e-07,2.1146
